date,count
2017-10-05,2
2017-10-06,3
2017-10-07,3
2017-10-08,4
2017-10-09,3
2017-10-10,4
2017-10-11,5
2017-10-12,5
2017-10-13,4
2017-10-14,4
2017-10-15,3
2017-10-16,5
2017-10-17,5
2017-10-18,3
2017-10-19,3
2017-10-20,3
2017-10-21,3
2017-10-22,6
2017-10-23,3
2017-10-24,4
2017-10-25,6
2017-10-26,6
2017-10-27,6
2017-10-28,2
2017-10-29,7
2017-10-30,5
2017-10-31,6
2017-11-01,8
2017-11-02,7
2017-11-03,8
2017-11-04,5
2017-11-05,6
2017-11-06,4
2017-11-07,6
2017-11-08,7
2017-11-09,5
2017-11-10,8
2017-11-11,4
2017-11-12,6
2017-11-13,8
2017-11-14,8
2017-11-15,10
2017-11-16,8
2017-11-17,6
2017-11-18,8
2017-11-19,9
2017-11-20,7
2017-11-21,6
2017-11-22,10
2017-11-23,8
2017-11-24,13
2017-11-25,10
2017-11-26,14
2017-11-27,16
2017-11-28,17
2017-11-29,19
2017-11-30,18
2017-12-01,17
2017-12-02,11
2017-12-03,12
2017-12-04,16
2017-12-05,13
2017-12-06,17
2017-12-07,19
2017-12-08,21
2017-12-09,17
2017-12-10,19
2017-12-11,20
2017-12-12,17
2017-12-13,19
2017-12-14,19
2017-12-15,16
2017-12-16,12
2017-12-17,13
2017-12-18,18
2017-12-19,17
2017-12-20,19
2017-12-21,16
2017-12-22,13
2017-12-23,17
2017-12-24,11
2017-12-25,10
2017-12-26,12
2017-12-27,17
2017-12-28,14
2017-12-29,13
2017-12-30,12
2017-12-31,9
2018-01-01,15
2018-01-02,19
2018-01-03,22
2018-01-04,20
2018-01-05,20
2018-01-06,16
2018-01-07,19
2018-01-08,27
2018-01-09,22
2018-01-10,25
2018-01-11,25
2018-01-12,24
2018-01-13,19
2018-01-14,25
2018-01-15,23
2018-01-16,24
2018-01-17,27
2018-01-18,21
2018-01-19,21
2018-01-20,18
2018-01-21,23
2018-01-22,22
2018-01-23,27
2018-01-24,25
2018-01-25,28
2018-01-26,25
2018-01-27,23
2018-01-28,21
2018-01-30,29
2018-01-31,28
2018-02-01,27
2018-02-02,28
2018-02-03,21
2018-02-04,26
2018-02-05,27
2018-02-06,26
2018-02-07,28
2018-02-08,27
2018-02-09,24
2018-02-10,15
2018-02-11,21
2018-02-12,32
2018-02-13,28
2018-02-14,31
2018-02-15,32
2018-02-16,31
2018-02-17,19
2018-02-18,26
2018-02-19,31
2018-02-20,33
2018-02-21,32
2018-02-22,34
2018-02-23,32
2018-02-24,26
2018-02-25,25
2018-02-26,32
2018-02-27,34
2018-02-28,30
2018-03-01,26
2018-03-02,30
2018-03-03,24
2018-03-04,26
2018-03-05,32
2018-03-06,37
2018-03-07,31
2018-03-08,34
2018-03-09,36
2018-03-10,29
2018-03-11,30
2018-03-12,40
2018-03-13,37
2018-03-14,40
2018-03-15,39
2018-03-16,34
2018-03-17,36
2018-03-18,32
2018-03-19,43
2018-03-20,43
2018-03-21,48
2018-03-22,42
2018-03-23,46
2018-03-24,38
2018-03-25,33
2018-03-26,42
2018-03-27,48
2018-03-28,49
2018-03-29,43
2018-03-30,38
2018-03-31,39
2018-04-01,45
2018-04-02,46
2018-04-03,46
2018-04-04,48
2018-04-05,45
2018-04-06,41
2018-04-07,35
2018-04-08,38
2018-04-09,46
2018-04-10,46
2018-04-11,49
2018-04-12,47
2018-04-13,42
2018-04-14,37
2018-04-15,40
2018-04-16,44
2018-04-17,53
2018-04-18,51
2018-04-19,38
2018-04-20,50
2018-04-21,31
2018-04-22,37
2018-04-23,50
2018-04-24,49
2018-04-25,42
2018-04-26,44
2018-04-27,38
2018-04-28,28
2018-04-29,35
2018-04-30,44
2018-05-01,42
2018-05-02,45
2018-05-03,43
2018-05-04,48
2018-05-05,35
2018-05-06,32
2018-05-07,48
2018-05-08,46
2018-05-09,41
2018-05-10,39
2018-05-11,43
2018-05-12,31
2018-05-13,33
2018-05-14,43
2018-05-15,46
2018-05-16,47
2018-05-17,47
2018-05-18,47
2018-05-19,40
2018-05-20,41
2018-05-21,41
2018-05-22,53
2018-05-23,57
2018-05-24,51
2018-05-25,49
2018-05-26,43
2018-05-27,35
2018-05-28,52
2018-05-29,58
2018-05-30,60
2018-05-31,56
2018-06-01,53
2018-06-02,45
2018-06-03,56
2018-06-04,67
2018-06-05,65
2018-06-06,59
2018-06-07,66
2018-06-08,57
2018-06-09,49
2018-06-10,52
2018-06-11,62
2018-06-12,61
2018-06-13,65
2018-06-14,63
2018-06-15,62
2018-06-16,51
2018-06-17,53
2018-06-18,65
2018-06-19,69
2018-06-20,66
2018-06-21,60
2018-06-22,59
2018-06-23,48
2018-06-24,53
2018-06-25,65
2018-06-26,65
2018-06-27,62
2018-06-28,67
2018-06-29,67
2018-06-30,50
2018-07-01,56
2018-07-02,62
2018-07-03,74
2018-07-04,73
2018-07-05,63
2018-07-06,67
2018-07-07,52
2018-07-08,58
2018-07-09,70
2018-07-10,69
2018-07-11,79
2018-07-12,74
2018-07-13,64
2018-07-14,49
2018-07-15,57
2018-07-16,70
2018-07-17,73
2018-07-18,76
2018-07-19,75
2018-07-20,69
2018-07-21,56
2018-07-22,54
2018-07-23,82
2018-07-24,78
2018-07-25,66
2018-07-26,72
2018-07-27,69
2018-07-28,52
2018-07-29,51
2018-07-30,79
2018-07-31,75
2018-08-01,76
2018-08-02,76
2018-08-03,74
2018-08-04,57
2018-08-05,55
2018-08-06,76
2018-08-07,71
2018-08-08,71
2018-08-09,68
2018-08-10,71
2018-08-11,51
2018-08-12,55
2018-08-13,76
2018-08-14,78
2018-08-15,67
2018-08-16,73
2018-08-17,69
2018-08-18,51
2018-08-19,56
2018-08-20,69
2018-08-21,71
2018-08-22,81
2018-08-23,71
2018-08-24,64
2018-08-25,53
2018-08-26,59
2018-08-27,77
2018-08-28,80
2018-08-29,88
2018-08-30,84
2018-08-31,85
2018-09-01,64
2018-09-02,67
2018-09-03,91
2018-09-04,90
2018-09-05,91
2018-09-06,92
2018-09-07,83
2018-09-08,71
2018-09-09,69
2018-09-10,95
2018-09-11,100
2018-09-12,103
2018-09-13,105
2018-09-14,98
2018-09-15,80
2018-09-17,109
2018-09-18,111
2018-09-19,113
2018-09-20,104
2018-09-21,109
2018-09-22,91
2018-09-23,86
2018-09-24,105
2018-09-25,105
2018-09-26,116
2018-09-27,114
2018-09-28,115
2018-09-29,90
2018-09-30,87
2018-10-01,112
2018-10-02,122
2018-10-03,107
2018-10-04,114
2018-10-05,104
2018-10-06,88
2018-10-07,88
2018-10-08,118
2018-10-09,122
2018-10-10,124
2018-10-11,123
2018-10-12,118
2018-10-13,100
2018-10-14,118
2018-10-15,134
2018-10-16,134
2018-10-17,140
2018-10-18,146
2018-10-19,105
2018-10-20,100
2018-10-21,110
2018-10-22,142
2018-10-23,135
2018-10-24,137
2018-10-25,138
2018-10-26,140
2018-10-27,119
2018-10-28,112
2018-10-29,144
2018-10-30,142
2018-10-31,144
2018-11-01,134
2018-11-02,122
2018-11-03,111
2018-11-04,117
2018-11-05,151
2018-11-06,144
2018-11-07,150
2018-11-08,140
2018-11-09,141
2018-11-10,101
2018-11-11,124
2018-11-12,145
2018-11-13,158
2018-11-14,146
2018-11-15,150
2018-11-16,148
2018-11-17,118
2018-11-18,135
2018-11-19,151
2018-11-20,168
2018-11-21,151
2018-11-22,145
2018-11-23,145
2018-11-24,129
2018-11-25,130
2018-11-26,163
2018-11-27,184
2018-11-28,186
2018-11-29,177
2018-11-30,178
2018-12-01,133
2018-12-02,140
2018-12-03,182
2018-12-04,194
2018-12-05,188
2018-12-06,192
2018-12-07,172
2018-12-08,152
2018-12-09,143
2018-12-10,181
2018-12-11,197
2018-12-12,188
2018-12-13,185
2018-12-14,173
2018-12-15,139
2018-12-16,153
2018-12-17,190
2018-12-18,182
2018-12-19,183
2018-12-20,179
2018-12-21,164
2018-12-22,134
2018-12-23,122
